tuner/initial_epoch,tuner/epochs,trial_id,learning_rate,tuner/bracket,tuner/round,time,tuner/trial_id,auc,row_label,accuracy,dropout_2,dense_2_units,dropout_1,dense_1_units
0,2,0002,0.0001,2,0,1687461741.7729816,,0.7672345042228699,0002,0.6211702823638916,0.15000000000000002,96,0.2,352
0,2,0005,0.0001,2,0,1687462623.3227677,,0.794417142868042,0005,0.6595818400382996,0.1,288,0.2,480
0,2,0004,0.001,2,0,1687462346.3865995,,0.7806636691093445,0004,0.6429871320724487,0.30000000000000004,192,0.1,128
0,2,0003,0.01,2,0,1687461767.2606103,,0.6636590361595154,0003,0.6255353689193726,0.25,128,0.1,32
0,4,0021,0.001,1,0,1687468318.7616475,,0.7831616401672363,0021,0.6514533758163452,0.45,480,0.15000000000000002,288
0,10,0026,0.01,0,0,1687470832.1854944,,0.5786115527153015,0026,0.3904400169849396,0.1,192,0.0,224
0,4,0019,0.001,1,0,1687467404.1079733,,0.7802117466926575,0019,0.6494477391242981,0.45,320,0.2,448
0,2,0010,0.0001,2,0,1687463618.9919748,,0.7961440086364746,0010,0.66169273853302,0.15000000000000002,96,0.1,512
4,10,0017,0.0001,2,2,1687466496.5973625,0015,0.804347813129425,0017,0.6684776544570923,0.1,288,0.2,480
0,10,0028,0.01,0,0,1687471917.9447129,,0.5723044276237488,0028,0.4119257628917694,0.4,448,0.2,64
4,10,0016,0.0001,2,2,1687465536.5439925,0014,0.8120991587638855,0016,0.6738286018371582,0.15000000000000002,96,0.1,512
0,10,0029,0.01,0,0,1687472453.6887455,,0.5951854586601257,0029,0.43723416328430176,0.35000000000000003,320,0.15000000000000002,128
0,2,0011,0.001,2,0,1687463801.1412017,,0.788569986820221,0011,0.6517317891120911,0.25,320,0.05,128
0,10,0027,0.01,0,0,1687471468.0505037,,0.5314509272575378,0027,0.38590362668037415,0.25,288,0.45,288
0,4,0018,0.001,1,0,1687466893.0779066,,0.7872233390808105,0018,0.654240608215332,0.2,224,0.2,256
0,4,0020,0.01,1,0,1687467768.7321904,,0.7417199611663818,0020,0.5911340117454529,0.1,32,0.2,384
0,2,0006,0.01,2,0,1687462785.9330773,,0.5303440093994141,0006,0.3515256643295288,0.05,352,0.35000000000000003,160
0,2,0001,0.0001,2,0,1687461703.96475,,0.7346687912940979,0001,0.5860852003097534,0.0,384,0.35000000000000003,416
0,2,0008,0.0001,2,0,1687463229.243639,,0.7902894020080566,0008,0.657910168170929,0.2,512,0.35000000000000003,352
0,2,0009,0.0001,2,0,1687463396.87492,,0.7940664291381836,0009,0.6602529883384705,0.35000000000000003,416,0.15000000000000002,160
0,2,0000,0.001,2,0,1687461654.4723413,,0.6991885304450989,0000,0.5784462094306946,0.1,480,0.4,32
0,2,0007,0.01,2,0,1687462962.612641,,0.5917389988899231,0007,0.4485076665878296,0.05,352,0.30000000000000004,224
4,10,0025,0.001,1,1,1687470277.324241,0021,0.7872976660728455,0025,0.6466670036315918,0.45,480,0.15000000000000002,288
0,4,0022,0.01,1,0,1687468655.0548203,,0.5125795006752014,0022,0.32027533650398254,0.2,96,0.2,256
2,4,0014,0.0001,2,1,1687464520.984497,0010,0.8035547137260437,0014,0.6683601140975952,0.15000000000000002,96,0.1,512
2,4,0013,0.0001,2,1,1687464288.547016,0001,0.7926013469696045,0013,0.6587744355201721,0.0,384,0.35000000000000003,416
2,4,0012,0.0001,2,1,1687464018.9877446,0002,0.7952777743339539,0012,0.6613155007362366,0.15000000000000002,96,0.2,352
2,4,0015,0.0001,2,1,1687464840.5430238,0005,0.8019388318061829,0015,0.6673149466514587,0.1,288,0.2,480
0,4,0023,0.001,1,0,1687468932.2336311,,0.771050751209259,0023,0.637729823589325,0.30000000000000004,64,0.4,128
4,10,0024,0.001,1,1,1687469471.842555,0018,0.7921311855316162,0024,0.6547483205795288,0.2,224,0.2,256
